Weekday,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,13,86.0,0.0,86.0,0.4186046511627907,2317.0,1.3428021896730284,26.941860465116278
Monday,14,67.0,0.0,67.0,0.26865671641791045,367.0,1.0515594268052824,5.477611940298507
Monday,15,74.0,0.0,74.0,0.40540540540540543,594.0,1.092021688613478,8.027027027027026
Tuesday,13,92.0,0.0,92.0,0.391304347826087,2.0,1.0002048340843916,0.021739130434782608
Tuesday,14,75.0,0.0,75.0,0.3466666666666667,861.0,1.1211481637821865,11.48
Tuesday,15,69.0,0.0,69.0,0.4492753623188406,4144.0,1.7555150410209663,60.05797101449275
Wednesday,13,79.0,0.0,79.0,0.3037974683544304,-1757.0,0.8199426111908178,-22.240506329113924
Wednesday,14,73.0,0.0,73.0,0.3561643835616438,483.0,1.0709042865531415,6.616438356164384
Wednesday,15,66.0,0.0,66.0,0.3939393939393939,-2317.0,0.6047424087342204,-35.10606060606061
Thursday,13,87.0,0.0,87.0,0.367816091954023,328.0,1.0343239849309334,3.7701149425287355
Thursday,14,71.0,0.0,71.0,0.36619718309859156,-2681.0,0.6410496719775071,-37.76056338028169
Thursday,15,70.0,0.0,70.0,0.2571428571428571,-2648.0,0.6440860215053763,-37.82857142857143
Friday,13,67.0,0.0,67.0,0.34328358208955223,3731.0,1.439509954058193,55.6865671641791
Friday,14,66.0,0.0,66.0,0.4090909090909091,2812.0,1.3878620689655172,42.60606060606061
Friday,15,66.0,0.0,66.0,0.3787878787878788,25.0,1.004069672798307,0.3787878787878788
Saturday,13,1.0,0.0,1.0,1.0,48.0,inf,48.0
Sunday,15,1.0,0.0,1.0,0.0,-72.0,0.0,-72.0
