entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Hour,Weekday,MonthNum,Month,Outcome,__kind
2021-10-13 13:16,2666.069415989909,1792.020684159899,long,2021-10-13 13:16:00,2021-10-13,2666,1578,13,Wednesday,10,October,win,top_winner
2024-10-01 13:26,1040.1340419563894,2662.881320419564,long,2024-10-01 13:26:00,2024-10-01,1040,2271,13,Tuesday,10,October,win,top_winner
2023-10-31 13:47,82.71172379727432,2000.1371772379728,long,2023-10-31 13:47:00,2023-10-31,83,2064,13,Tuesday,10,October,win,top_winner
2015-10-27 13:44,-0.0678549612985079,1166.298321450387,long,2015-10-27 13:44:00,2015-10-27,0,136,13,Tuesday,10,October,breakeven,top_winner
2022-10-26 13:39,-21.94353065690393,1665.790574693431,long,2022-10-26 13:39:00,2022-10-26,-22,1821,13,Wednesday,10,October,loss,top_winner
2024-10-29 13:08,-69.54949908522394,2753.404605009148,long,2024-10-29 13:08:00,2024-10-29,-70,2292,13,Tuesday,10,October,loss,top_winner
2019-10-23 13:33,-94.33756766422904,1492.3046243233578,long,2019-10-23 13:33:00,2019-10-23,-94,1095,13,Wednesday,10,October,loss,top_winner
2018-10-16 13:22,-102.90615957881072,1230.168938404212,long,2018-10-16 13:22:00,2018-10-16,-103,819,13,Tuesday,10,October,loss,top_winner
2018-10-23 13:09,-117.46593066513924,1237.5263406933486,long,2018-10-23 13:09:00,2018-10-23,-117,823,13,Tuesday,10,October,loss,top_winner
2023-10-10 13:16,-123.38313426905644,1854.7261286573091,long,2023-10-10 13:16:00,2023-10-10,-123,2035,13,Tuesday,10,October,loss,top_winner
2015-10-07 13:40,-219.22134988753896,1145.3567865011246,long,2015-10-07 13:40:00,2015-10-07,-219,113,13,Wednesday,10,October,loss,top_loser
2023-10-25 13:50,-143.96083969418214,1981.660367603058,long,2023-10-25 13:50:00,2023-10-25,-144,2056,13,Wednesday,10,October,loss,top_loser
2023-10-10 13:16,-123.38313426905644,1854.7261286573091,long,2023-10-10 13:16:00,2023-10-10,-123,2035,13,Tuesday,10,October,loss,top_loser
2018-10-23 13:09,-117.46593066513924,1237.5263406933486,long,2018-10-23 13:09:00,2018-10-23,-117,823,13,Tuesday,10,October,loss,top_loser
2018-10-16 13:22,-102.90615957881072,1230.168938404212,long,2018-10-16 13:22:00,2018-10-16,-103,819,13,Tuesday,10,October,loss,top_loser
2019-10-23 13:33,-94.33756766422904,1492.3046243233578,long,2019-10-23 13:33:00,2019-10-23,-94,1095,13,Wednesday,10,October,loss,top_loser
2024-10-29 13:08,-69.54949908522394,2753.404605009148,long,2024-10-29 13:08:00,2024-10-29,-70,2292,13,Tuesday,10,October,loss,top_loser
2022-10-26 13:39,-21.94353065690393,1665.790574693431,long,2022-10-26 13:39:00,2022-10-26,-22,1821,13,Wednesday,10,October,loss,top_loser
2015-10-27 13:44,-0.0678549612985079,1166.298321450387,long,2015-10-27 13:44:00,2015-10-27,0,136,13,Tuesday,10,October,breakeven,top_loser
2023-10-31 13:47,82.71172379727432,2000.1371772379728,long,2023-10-31 13:47:00,2023-10-31,83,2064,13,Tuesday,10,October,win,top_loser
