timeframe,total_trades,wins,losses,win_rate,total_pips,avg_trade,avg_win,avg_loss,best_trade,worst_trade,profit_factor,max_drawdown,start,end,file
15m,661,254,407,0.3842662632375189,15739.431964144887,23.811546087965034,371.3233278078764,-193.06312849890844,3165.764046690515,-517.0834778977905,1.2003066215097908,-7064.758801578591,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/15m/trades_simple_up_buy_only.csv
1h,696,259,437,0.37212643678160917,9696.620849413079,13.931926507777412,369.8876490531193,-197.0349662593703,3165.764046690515,-517.0834778977905,1.1126148528349284,-9343.589431639157,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/1h/trades_simple_up_buy_only.csv
1m,663,238,425,0.358974358974359,3061.3092183195686,4.617359303649424,364.90740746836167,-197.14506766858943,3165.764046690515,-503.8560823264106,1.0365369552425316,-9100.361083297868,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/1m/trades_simple_up_buy_only.csv
30m,698,265,433,0.37965616045845274,15409.441131506037,22.07656322565335,381.59203876337574,-197.95022896256017,3165.764046690515,-517.0834778977905,1.179780665305631,-7643.068062614795,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/30m/trades_simple_up_buy_only.csv
4h,715,262,453,0.36643356643356645,3094.3997390414315,4.327831802855149,359.8404935625358,-201.28876285726926,3165.764046690515,-517.0834778977905,1.0339358462153143,-9522.955861758828,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/4h/trades_simple_up_buy_only.csv
5m,679,241,438,0.3549337260677467,6258.347132378207,9.21700608597674,384.58041719590017,-197.31856943341035,3165.764046690515,-517.0834778977905,1.072413173344919,-8860.301297013486,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/5m/trades_simple_up_buy_only.csv
combo_15m_1h_1m_30m_4h_5m,306,103,203,0.3366013071895425,3760.319296011448,12.28862515036421,432.9636495890273,-201.15732321013965,3165.764046690515,-489.9587744447217,1.0920858364927128,-6338.363552101646,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1h_1m_30m_4h_5m/trades_simple_up_buy_only.csv
combo_15m_1m,448,163,285,0.3638392857142857,9061.056651766763,20.225572883407953,399.5018854826076,-196.69386204174825,3165.764046690515,-503.8560823264106,1.1616378920228905,-6040.171669315806,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1m/trades_simple_up_buy_only.csv
combo_15m_1m_5m,419,148,271,0.3532219570405728,8873.757396132942,21.178418606522534,417.4647510598182,-195.2436374934323,3165.764046690515,-503.8560823264106,1.1677109311065483,-6829.889051087458,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1m_5m/trades_simple_up_buy_only.csv
combo_15m_1m_k1of2,876,329,547,0.3755707762557078,9739.684530697694,11.118361336412892,352.72121856232724,-194.3429549841096,3165.764046690515,-517.0834778977905,1.091619678198507,-10572.033210933932,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1m_k1of2/trades_simple_up_buy_only.csv
combo_15m_1m_k2of2,448,163,285,0.3638392857142857,9061.056651766763,20.225572883407953,399.5018854826076,-196.69386204174825,3165.764046690515,-503.8560823264106,1.1616378920228905,-6040.171669315806,2020-04-06T13:45:00+00:00,2025-10-13T15:59:00+00:00,results/trends/combo_15m_1m_k2of2/trades_simple_up_buy_only.csv
